 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    650  25   1  -1 1 1 1
    651   1   2  -1 1 1 1
    652   2   2  -1 1 1 1
    653   3   2  -1 1 1 1
    654   4   2  -1 1 1 1
    655   5   2  -1 1 1 1
    656   6   2  -1 1 1 1
    657   7   2  -1 1 1 1
    658   8   2  -1 1 1 1
    659   9   2  -1 1 1 1
    660  10   2  -1 1 1 1
    661  11   2  -1 1 1 1
    662  12   2  -1 1 1 1
    663  13   2  -1 1 1 1
    664  14   2  -1 1 1 1
    665  15   2  -1 1 1 1
    666  16   2  -1 1 1 1
    667  17   2  -1 1 1 1
    668  18   2  -1 1 1 1
    669  19   2  -1 1 1 1
    670  20   2  -1 1 1 1
    671  21   2  -1 1 1 1
    672  22   2  -1 1 1 1
    673  23   2  -1 1 1 1
    674  24   2  -1 1 1 1
    675  25   2  -1 1 1 1
    676   1   3  -1 1 1 1
    677   2   3  -1 1 1 1
    678   3   3  -1 1 1 1
    679   4   3  -1 1 1 1
    680   5   3  -1 1 1 1
    681   6   3  -1 1 1 1
    682   7   3  -1 1 1 1
    683   8   3  -1 1 1 1
    684   9   3  -1 1 1 1
    685  10   3  -1 1 1 1
    686  11   3  -1 1 1 1
    687  12   3  -1 1 1 1
    688  13   3  -1 1 1 1
    689  14   3  -1 1 1 1
    690  15   3  -1 1 1 1
    691  16   3  -1 1 1 1
    692  17   3  -1 1 1 1
    693  18   3  -1 1 1 1
    694  19   3  -1 1 1 1
    695  20   3  -1 1 1 1
    696  21   3  -1 1 1 1
    697  22   3  -1 1 1 1
    698  23   3  -1 1 1 1
    699  24   3  -1 1 1 1
    700  25   3  -1 1 1 1
    701   1   4  -1 1 1 1
    702   2   4  -1 1 1 1
    703   3   4  -1 1 1 1
    704   4   4  -1 1 1 1
    705   5   4  -1 1 1 1
    706   6   4  -1 1 1 1
    707   7   4  -1 1 1 1
    708   8   4  -1 1 1 1
    709   9   4  -1 1 1 1
    710  10   4  -1 1 1 1
    711  11   4  -1 1 1 1
    712  12   4  -1 1 1 1
    713  13   4  -1 1 1 1
    714  14   4  -1 1 1 1
    715  15   4  -1 1 1 1
    716  16   4  -1 1 1 1
    717  17   4  -1 1 1 1
    718  18   4  -1 1 1 1
    719  19   4  -1 1 1 1
    720  20   4  -1 1 1 1
    721  21   4  -1 1 1 1
    722  22   4  -1 1 1 1
    723  23   4  -1 1 1 1
    724  24   4  -1 1 1 1
    725  25   4  -1 1 1 1
    726   1   5  -1 1 1 1
    727   2   5  -1 1 1 1
    728   3   5  -1 1 1 1
    729   4   5  -1 1 1 1
    730   5   5  -1 1 1 1
    731   6   5  -1 1 1 1
    732   7   5  -1 1 1 1
    733   8   5  -1 1 1 1
    734   9   5  -1 1 1 1
    735  10   5  -1 1 1 1
    736  11   5  -1 1 1 1
    737  12   5  -1 1 1 1
    738  13   5  -1 1 1 1
    739  14   5  -1 1 1 1
    740  15   5  -1 1 1 1
    741  16   5  -1 1 1 1
    742  17   5  -1 1 1 1
    743  18   5  -1 1 1 1
    744  19   5  -1 1 1 1
    745  20   5  -1 1 1 1
    746  21   5  -1 1 1 1
    747  22   5  -1 1 1 1
    748  23   5  -1 1 1 1
    749  24   5  -1 1 1 1
    750  25   5  -1 1 1 1
    751   1  -4   0 1 1 1
    752   2  -4   0 1 1 1
    753   3  -4   0 1 1 1
    754   4  -4   0 1 1 1
